frame_idx,time_sec,rms,shape,beta0,A_ratio,S
0,0.0,0.00128352,sphere,1,0.068466,0.334324
0,0.0,0.00128352,torus,2,0.051756,0.334052
0,0.0,0.00128352,double_torus,1,0.100147,0.378283
3,0.03483,0.00215635,sphere,1,0.067134,0.334238
3,0.03483,0.00215635,torus,2,0.051575,0.333825
3,0.03483,0.00215635,double_torus,1,0.08409,0.376391
7,0.08127,0.00169081,sphere,1,0.064378,0.334974
7,0.08127,0.00169081,torus,2,0.054804,0.334135
7,0.08127,0.00169081,double_torus,1,0.08583,0.374822
35,0.406349,0.05644969,sphere,1,0.06974,0.334536
35,0.406349,0.05644969,torus,2,0.048375,0.336671
35,0.406349,0.05644969,double_torus,1,0.11383,0.395062
