mesh_id,genus,resolution,n_vertices,total_off_diagonal,n_negative,n_positive,pct_negative,pct_positive,max_neg_magnitude,max_pos_magnitude
sphere_genus0,0,original,10242,61440,61440,0,100.0,0.0,0.72637677,0.0
sphere_genus0,0,remeshed_10k,19534,117192,117116,76,99.9351,0.0649,1.66035547,0.20028752
sphere_genus0,0,remeshed_20k,40950,245688,245688,0,100.0,0.0,1.02707749,0.0
torus_genus1,1,original,5041,30246,25148,4956,83.1449,16.3856,3.99805136,1e-07
torus_genus1,1,remeshed_10k,5997,35982,35912,70,99.8055,0.1945,1.89666988,0.15546313
torus_genus1,1,remeshed_20k,12638,75828,75828,0,100.0,0.0,1.25759076,0.0
double_torus_genus2,2,original,4889,29346,24588,4758,83.7865,16.2135,347.06395963,9.26438468
double_torus_genus2,2,remeshed_10k,5468,32820,32752,68,99.7928,0.2072,3.76270692,0.53176908
double_torus_genus2,2,remeshed_20k,9884,59316,59254,62,99.8955,0.1045,2.68397461,0.26877183
triple_torus_genus3,3,original,7278,43692,36676,7016,83.9421,16.0579,347.08965203,9.2672417
triple_torus_genus3,3,remeshed_10k,7813,46902,46654,248,99.4712,0.5288,11.20860113,0.52349548
triple_torus_genus3,3,remeshed_20k,14755,88554,88434,120,99.8645,0.1355,4.61663518,0.29301608
quad_torus_genus4,4,original,8414,50520,42302,7996,83.7332,15.8274,7427.97148199,8.27938838
quad_torus_genus4,4,remeshed_10k,8618,51744,51576,168,99.6753,0.3247,4.76896892,0.31500842
quad_torus_genus4,4,remeshed_20k,16532,99228,99062,166,99.8327,0.1673,4.62701195,0.28734747
penta_torus_genus5,5,original,8929,53622,45004,8612,83.9282,16.0606,135.76685714,5.11020155
penta_torus_genus5,5,remeshed_10k,8731,52434,52202,232,99.5575,0.4425,6.68806198,0.36899264
penta_torus_genus5,5,remeshed_20k,17017,102150,101980,170,99.8336,0.1664,5.27979809,0.31827552
hex_torus_genus6,6,original,9934,59664,50192,9472,84.1244,15.8756,2375.32248255,5.84382592
hex_torus_genus6,6,remeshed_10k,9302,55872,55662,210,99.6241,0.3759,3.80841,0.43363221
hex_torus_genus6,6,remeshed_20k,18208,109308,109062,246,99.7749,0.2251,3.63672971,0.30172999
