mesh,genus,M_eff_clusters,M_eff_mean_size,spectral_entropy_H,spectral_gap_gamma,eigenvalue_density_rho,product_score_P
sphere,0,7,7.142857142857143,1.7270064998509853,1.00000000000005,0.9121737832521671,0.9401694199321674
torus,1,23,2.1739130434782608,2.9471250838756795,1.0000000000116782,9.610295407186179,0.9731517884072552
cube,0,18,2.7777777777777777,2.7846730410147758,1.0000000000027753,0.46830615823201477,0.9841760080872769
ellipsoid,0,30,1.6666666666666667,3.412376246214078,1.7827027703091518,4.031442024017425,0.9894765158066215
double_torus,2,32,1.5625,3.5076924680203057,2.2723995909896986,6.186717142097048,0.9619739957174412
flat_plate,0,26,1.9230769230769231,3.080338010870311,1.0000000000056006,0.09584882474878169,0.9999967421240837
tetrahedron,0,13,3.8461538461538463,2.3969762021752836,1.0000000000003695,0.3699067803045156,0.9893682976097802
octahedron,0,16,3.125,2.7048677151641187,1.000000000000094,0.4834220204936095,0.9863204876012989
icosahedron,0,14,3.5714285714285716,2.4232216749735667,1.0000000000003666,0.6926899876894094,0.9706794556696757
triple_torus_genus3,3,31,1.6129032258064515,3.460752057430125,3.6668877397290274,9.082650636450776,0.9152238404569633
quad_torus_genus4,4,30,1.6666666666666667,3.5104372979566203,3.845079099976063,10.249214624500325,0.9547086634435735
penta_torus_genus5,5,34,1.4705882352941178,3.531970617479641,3.9113794282598544,10.732781118769154,0.9783675323744486
hex_torus_genus6,6,32,1.5625,3.4918880979007314,3.9440473728608443,11.120780418241141,0.9704360417192756
