epsilon,mesh,genus,n_clusters,mean_cluster_size,spectral_entropy
0.005,sphere,0,7,7.142857,1.727006
0.005,torus,1,24,2.083333,2.947125
0.005,cube,0,21,2.380952,2.784673
0.005,ellipsoid,0,32,1.5625,3.412376
0.005,double_torus,2,27,1.851852,3.0541
0.005,flat_plate,0,26,1.923077,3.080338
0.005,tetrahedron,0,13,3.846154,2.396976
0.005,octahedron,0,18,2.777778,2.704868
0.005,icosahedron,0,14,3.571429,2.423222
0.005,triple_torus_genus3,3,39,1.282051,3.460752
0.005,quad_torus_genus4,4,39,1.282051,3.510437
0.005,penta_torus_genus5,5,40,1.25,3.531971
0.005,hex_torus_genus6,6,38,1.315789,3.491888
0.01,sphere,0,7,7.142857,1.727006
0.01,torus,1,23,2.173913,2.947125
0.01,cube,0,18,2.777778,2.784673
0.01,ellipsoid,0,30,1.666667,3.412376
0.01,double_torus,2,25,2.0,3.0541
0.01,flat_plate,0,26,1.923077,3.080338
0.01,tetrahedron,0,13,3.846154,2.396976
0.01,octahedron,0,16,3.125,2.704868
0.01,icosahedron,0,14,3.571429,2.423222
0.01,triple_torus_genus3,3,31,1.612903,3.460752
0.01,quad_torus_genus4,4,30,1.666667,3.510437
0.01,penta_torus_genus5,5,34,1.470588,3.531971
0.01,hex_torus_genus6,6,32,1.5625,3.491888
0.02,sphere,0,7,7.142857,1.727006
0.02,torus,1,20,2.5,2.947125
0.02,cube,0,17,2.941176,2.784673
0.02,ellipsoid,0,21,2.380952,3.412376
0.02,double_torus,2,18,2.777778,3.0541
0.02,flat_plate,0,16,3.125,3.080338
0.02,tetrahedron,0,13,3.846154,2.396976
0.02,octahedron,0,16,3.125,2.704868
0.02,icosahedron,0,13,3.846154,2.423222
0.02,triple_torus_genus3,3,21,2.380952,3.460752
0.02,quad_torus_genus4,4,21,2.380952,3.510437
0.02,penta_torus_genus5,5,23,2.173913,3.531971
0.02,hex_torus_genus6,6,22,2.272727,3.491888
0.05,sphere,0,7,7.142857,1.727006
0.05,torus,1,7,7.142857,2.947125
0.05,cube,0,11,4.545455,2.784673
0.05,ellipsoid,0,6,8.333333,3.412376
0.05,double_torus,2,7,7.142857,3.0541
0.05,flat_plate,0,10,5.0,3.080338
0.05,tetrahedron,0,10,5.0,2.396976
0.05,octahedron,0,12,4.166667,2.704868
0.05,icosahedron,0,10,5.0,2.423222
0.05,triple_torus_genus3,3,5,10.0,3.460752
0.05,quad_torus_genus4,4,3,16.666667,3.510437
0.05,penta_torus_genus5,5,5,10.0,3.531971
0.05,hex_torus_genus6,6,6,8.333333,3.491888
