mesh_name,genus,num_vertices,spectral_entropy_H,mean_beta0_random,std_beta0_random,mean_beta0_A5,spearman_rho_cumulative
sphere,0,10242,1.727006,134.785,13.192,,-0.3235
torus,1,10000,2.947125,130.045,12.9326,,-0.3235
cube,0,24578,2.784673,227.74,26.0661,,-0.3235
ellipsoid,0,10242,3.412376,133.345,15.295,,-0.3235
double_torus,2,4846,3.507692,72.1500,8.6092,67.1585,-0.3235
flat_plate,0,10000,3.080338,122.715,14.6763,,-0.3235
tetrahedron,0,8194,2.396976,116.315,12.5002,,-0.3235
octahedron,0,16386,2.704868,179.805,17.1985,,-0.3235
icosahedron,0,10242,2.423222,132.705,13.8571,,-0.3235
triple_torus_genus3,3,7278,3.460752,97.575,10.0137,,-0.3235
quad_torus_genus4,4,8414,3.510437,105.46,12.4285,,-0.3235
penta_torus_genus5,5,8929,3.531971,111.12,14.6378,,-0.3235
hex_torus_genus6,6,9934,3.491888,87.645,11.2583,,-0.3235
ellipsoid_112,0,10242,3.204086,134.715,13.5268,138.2902,-0.3235
ellipsoid_123,0,10242,3.412376,131.1,15.6263,130.9277,-0.3235
ellipsoid_115,0,10242,3.368558,144.32,18.0063,128.9044,-0.3235
torus_Rr2,1,8100,3.01652,110.235,12.8899,99.8531,-0.3235
torus_Rr3,1,8100,2.894623,113.235,13.6477,119.0676,-0.3235
torus_Rr5,1,8100,2.890765,100.435,10.1615,99.0093,-0.3235
torus_bent,1,7225,2.859391,102.825,12.1546,100.8287,-0.3235
genus2_asymmetric,2,4846,3.507692,71.675,8.5369,67.1585,-0.3235
rounded_cube,0,10242,2.768011,114.72,14.5314,110.2517,-0.3235
genus7,7,10616,3.539461,210.745,21.5731,207.0128,-0.3235
genus8,8,11068,3.530079,58.305,12.2512,65.9697,-0.3235
