mesh,audio,mapping,beta0_mean,beta0_std,A_ratio_mean,A_ratio_std,S_mean,S_std
sphere,A1,direct,52.0,0.0,0.0261,0.0001,0.3333,0.0
sphere,A1,mel,60.0,0.0,0.0266,0.0001,0.3333,0.0
sphere,A1,energy,62.0,0.0,0.0256,0.0,0.3333,0.0
sphere,A5,direct,135.17,9.04,0.0719,0.0052,0.5246,0.0142
sphere,A5,mel,133.53,7.86,0.0726,0.0051,0.5235,0.0138
sphere,A5,energy,158.18,10.58,0.0789,0.0079,0.554,0.031
torus,A3,direct,79.86,19.62,0.0406,0.0077,0.3519,0.0306
torus,A3,mel,84.78,18.14,0.0396,0.0089,0.6723,0.1316
torus,A3,energy,71.64,22.3,0.038,0.012,0.6307,0.21
cube,A7,direct,44.93,19.08,0.0234,0.0006,0.3336,0.0004
cube,A7,mel,51.7,6.26,0.0234,0.0006,0.3373,0.0081
cube,A7,energy,55.08,7.52,0.0237,0.0008,0.3335,0.0005
double_torus,A5,direct,66.84,5.66,0.0562,0.0058,0.4515,0.0111
double_torus,A5,mel,66.65,4.82,0.0559,0.0055,0.4475,0.0097
double_torus,A5,energy,74.06,5.76,0.0626,0.0069,0.4604,0.0219
double_torus,A3,direct,36.47,13.35,0.0457,0.0141,0.6013,0.0958
double_torus,A3,mel,57.08,16.97,0.054,0.0183,0.4153,0.054
double_torus,A3,energy,47.31,20.43,0.0633,0.0319,0.4102,0.0803
