mesh,audio,strategy,beta0,beta1,chi,A_ratio,S
sphere,A1,direct,52,0,52,0.026228467796503632,0.33333333354886047
sphere,A1,mel,60,0,60,0.026673586880434072,0.33333334009477217
sphere,A1,energy,62,0,62,0.025601117843813498,0.33333333333333326
sphere,A2,direct,22,0,22,0.02533297412609853,0.33333333338471655
sphere,A2,mel,52,0,52,0.02355375561110511,0.33333333464102294
sphere,A2,energy,54,0,54,0.025316517821131163,0.3333333333333333
sphere,A3,direct,59,60,-1,0.051039563775892464,0.6257946735695534
sphere,A3,mel,71,23,48,0.035515517400821504,0.5742655816034526
sphere,A3,energy,74,0,74,0.034132582285286914,0.6698762802804752
sphere,A4,direct,143,36,107,0.05856198466173378,0.4449631004081525
sphere,A4,mel,154,5,149,0.06343912682317657,0.4903439391465301
sphere,A4,energy,146,5,141,0.05554473431888063,0.45389320880331824
sphere,A5,direct,131,33,98,0.06560659039344474,0.5204110805680728
sphere,A5,mel,118,5,113,0.06834027354888993,0.5125154308696253
sphere,A5,energy,132,79,53,0.08119229630500711,0.5241396219594789
sphere,A6,direct,62,6,56,0.03513008611795645,0.40248738299036274
sphere,A6,mel,48,44,4,0.04016527403726014,0.39840480925330435
sphere,A6,energy,47,0,47,0.024673258519993437,0.34009619127469626
sphere,A7,direct,20,0,20,0.021935886294009915,0.3343236682636382
sphere,A7,mel,20,0,20,0.02581413219990174,0.33425552232129174
sphere,A7,energy,22,0,22,0.024309491151696394,0.33333431537685554
torus,A1,direct,0,0,0,0.0,0.3333333499500826
torus,A1,mel,0,0,0,0.0,0.33334462280763405
torus,A1,energy,0,0,0,0.0,0.3333333334196995
torus,A2,direct,0,0,0,0.0,0.33333333519303937
torus,A2,mel,2,2,0,0.039999999999999855,0.3333336245242089
torus,A2,energy,0,0,0,0.0,0.33333333333347176
torus,A3,direct,85,0,85,0.03661754088882008,0.3565476299082995
torus,A3,mel,86,5,81,0.046013332265099564,0.7133262198212421
torus,A3,energy,46,9,37,0.03586942810122616,0.8243239099494449
torus,A4,direct,129,3,126,0.06349512424295493,0.498572362278054
torus,A4,mel,136,6,130,0.053380530440788596,0.4738597481483808
torus,A4,energy,126,0,126,0.048141101402882115,0.468433356719923
torus,A5,direct,137,90,47,0.08830443974965069,0.4834709348120538
torus,A5,mel,143,68,75,0.08703338754251005,0.4825242870249243
torus,A5,energy,153,87,66,0.09426348976374556,0.5025430296349703
torus,A6,direct,48,115,-67,0.06700901348430424,0.4109066487106446
torus,A6,mel,44,64,-20,0.044581115382978584,0.41854716995169167
torus,A6,energy,19,0,19,0.019203254228541168,0.35148767376708573
torus,A7,direct,6,0,6,0.021019620911865534,0.3340515284152677
torus,A7,mel,5,0,5,0.01708554551799737,0.3335598147602861
torus,A7,energy,0,0,0,0.0,0.333333435659313
double_torus,A1,direct,4,0,4,0.011164077709104648,0.384431124639939
double_torus,A1,mel,3,3,0,0.08195531575265137,0.3333385279981429
double_torus,A1,energy,3,3,0,0.08195531575265137,0.33333333953442534
double_torus,A2,direct,2,196,-194,0.0337138101515217,0.37557225046191506
double_torus,A2,mel,1,1,0,0.035767858236150654,0.3341880365574373
double_torus,A2,energy,1,1,0,0.035767858236150654,0.33348648231272043
double_torus,A3,direct,31,1,30,0.03249463455831545,0.5916268032278992
double_torus,A3,mel,39,1,38,0.033115959610994936,0.43138268381481054
double_torus,A3,energy,22,0,22,0.020298422138141262,0.38946648540060025
double_torus,A4,direct,67,9,58,0.062043571186753785,0.4712741986106026
double_torus,A4,mel,70,51,19,0.06951842909323341,0.45318651731019877
double_torus,A4,energy,72,9,63,0.062356669896734135,0.4379513840594052
double_torus,A5,direct,66,4,62,0.05460586392915258,0.4638684557169546
double_torus,A5,mel,66,4,62,0.0559777777523707,0.454194061754418
double_torus,A5,energy,70,5,65,0.05532346368837837,0.4790293063442255
double_torus,A6,direct,57,22,35,0.059679028766430456,0.39450232734649493
double_torus,A6,mel,54,46,8,0.06479743627735918,0.43184864963605296
double_torus,A6,energy,12,4,8,0.01810143320546338,0.4171057350410383
double_torus,A7,direct,10,63,-53,0.023106694338925954,0.3782825660993683
double_torus,A7,mel,14,73,-59,0.022808968628510486,0.37562593757869384
double_torus,A7,energy,1,187,-186,0.033699200036022135,0.3756278231284546
cube,A1,direct,50,41,9,0.02423095703125,0.3333333333374458
cube,A1,mel,56,34,22,0.023722330729166668,0.3333333333637209
