mesh_id,audio_id,entropy,beta0,A_ratio
cube,A1,0.6832,50,0.0242
cube,A2,0.0002,59,0.0233
cube,A3,1.535,124,0.0335
cube,A4,2.7257,265,0.0546
cube,A5,3.8733,205,0.044
cube,A6,2.4856,84,0.0368
cube,A7,0.0498,52,0.0231
double_torus,A1,0.6832,2,0.025
double_torus,A2,0.0002,2,0.025
double_torus,A3,1.535,138,0.0327
double_torus,A4,2.7257,204,0.0671
double_torus,A5,3.8733,177,0.046
double_torus,A6,2.4856,91,0.0412
double_torus,A7,0.0498,7,0.0108
double_torus_genus2,A1,0.6832,0,0.0
double_torus_genus2,A2,0.0002,1,0.0282
double_torus_genus2,A3,1.535,59,0.0443
double_torus_genus2,A4,2.7257,75,0.0608
double_torus_genus2,A5,3.8733,58,0.046
double_torus_genus2,A6,2.4856,42,0.0334
double_torus_genus2,A7,0.0498,4,0.0255
ellipsoid,A1,0.6832,18,0.0128
ellipsoid,A2,0.0002,64,0.037
ellipsoid,A3,1.535,69,0.0447
ellipsoid,A4,2.7257,122,0.0627
ellipsoid,A5,3.8733,149,0.0564
ellipsoid,A6,2.4856,90,0.0482
ellipsoid,A7,0.0498,55,0.0277
flat_plate,A1,0.6832,20,0.0181
flat_plate,A2,0.0002,32,0.0266
flat_plate,A3,1.535,58,0.0479
flat_plate,A4,2.7257,118,0.0846
flat_plate,A5,3.8733,129,0.0753
flat_plate,A6,2.4856,61,0.0391
flat_plate,A7,0.0498,34,0.0283
icosahedron,A1,0.6832,70,0.0279
icosahedron,A2,0.0002,46,0.0229
icosahedron,A3,1.535,73,0.0378
icosahedron,A4,2.7257,140,0.049
icosahedron,A5,3.8733,124,0.0453
icosahedron,A6,2.4856,66,0.027
icosahedron,A7,0.0498,55,0.0249
octahedron,A1,0.6832,24,0.0154
octahedron,A2,0.0002,74,0.0265
octahedron,A3,1.535,78,0.0381
octahedron,A4,2.7257,170,0.0573
octahedron,A5,3.8733,164,0.0494
octahedron,A6,2.4856,87,0.0418
octahedron,A7,0.0498,77,0.0269
octahedron_sym_1.0,A1,0.6832,20,0.042
octahedron_sym_1.0,A2,0.0002,40,0.0315
octahedron_sym_1.0,A3,1.535,37,0.0457
octahedron_sym_1.0,A4,2.7257,64,0.062
octahedron_sym_1.0,A5,3.8733,54,0.0472
octahedron_sym_1.0,A6,2.4856,58,0.0542
octahedron_sym_1.0,A7,0.0498,37,0.0305
octahedron_sym_1.1,A1,0.6832,20,0.0234
octahedron_sym_1.1,A2,0.0002,1,0.062
octahedron_sym_1.1,A3,1.535,60,0.0631
octahedron_sym_1.1,A4,2.7257,62,0.0557
octahedron_sym_1.1,A5,3.8733,60,0.0526
octahedron_sym_1.1,A6,2.4856,52,0.0444
octahedron_sym_1.1,A7,0.0498,14,0.0405
octahedron_sym_1.2,A1,0.6832,18,0.019
octahedron_sym_1.2,A2,0.0002,1,0.0615
octahedron_sym_1.2,A3,1.535,40,0.041
octahedron_sym_1.2,A4,2.7257,57,0.0576
octahedron_sym_1.2,A5,3.8733,57,0.0601
octahedron_sym_1.2,A6,2.4856,41,0.0439
octahedron_sym_1.2,A7,0.0498,16,0.0342
octahedron_sym_1.3,A1,0.6832,33,0.0261
octahedron_sym_1.3,A2,0.0002,1,0.0615
octahedron_sym_1.3,A3,1.535,43,0.0427
octahedron_sym_1.3,A4,2.7257,55,0.0481
octahedron_sym_1.3,A5,3.8733,72,0.0709
octahedron_sym_1.3,A6,2.4856,54,0.0641
octahedron_sym_1.3,A7,0.0498,11,0.0312
octahedron_sym_1.4,A1,0.6832,20,0.0205
octahedron_sym_1.4,A2,0.0002,1,0.0615
octahedron_sym_1.4,A3,1.535,43,0.0437
octahedron_sym_1.4,A4,2.7257,52,0.041
octahedron_sym_1.4,A5,3.8733,57,0.0508
octahedron_sym_1.4,A6,2.4856,37,0.0366
octahedron_sym_1.4,A7,0.0498,11,0.0359
octahedron_sym_1.5,A1,0.6832,18,0.0181
octahedron_sym_1.5,A2,0.0002,1,0.0615
octahedron_sym_1.5,A3,1.535,33,0.0286
octahedron_sym_1.5,A4,2.7257,56,0.0503
octahedron_sym_1.5,A5,3.8733,62,0.0564
octahedron_sym_1.5,A6,2.4856,39,0.0464
octahedron_sym_1.5,A7,0.0498,14,0.0334
sphere,A1,0.6832,52,0.0262
sphere,A2,0.0002,22,0.0253
sphere,A3,1.535,59,0.051
sphere,A4,2.7257,143,0.0586
sphere,A5,3.8733,131,0.0656
sphere,A6,2.4856,62,0.0351
sphere,A7,0.0498,20,0.0219
sphere_genus0,A1,0.6832,60,0.0276
sphere_genus0,A2,0.0002,26,0.0251
sphere_genus0,A3,1.535,74,0.0364
sphere_genus0,A4,2.7257,120,0.0509
sphere_genus0,A5,3.8733,117,0.0507
sphere_genus0,A6,2.4856,85,0.0355
sphere_genus0,A7,0.0498,34,0.0236
tetrahedron,A1,0.6832,31,0.0292
tetrahedron,A2,0.0002,18,0.0222
tetrahedron,A3,1.535,67,0.056
tetrahedron,A4,2.7257,107,0.0579
tetrahedron,A5,3.8733,118,0.0565
tetrahedron,A6,2.4856,79,0.0469
tetrahedron,A7,0.0498,25,0.0214
torus,A1,0.6832,0,0.0
torus,A2,0.0002,0,0.0
torus,A3,1.535,85,0.0366
torus,A4,2.7257,129,0.0635
torus,A5,3.8733,137,0.0883
torus,A6,2.4856,48,0.067
torus,A7,0.0498,6,0.021
torus_genus1,A1,0.6832,0,0.0
torus_genus1,A2,0.0002,0,0.0
torus_genus1,A3,1.535,62,0.0484
torus_genus1,A4,2.7257,73,0.0523
torus_genus1,A5,3.8733,103,0.0812
torus_genus1,A6,2.4856,52,0.0433
torus_genus1,A7,0.0498,5,0.0137
