mesh,genus,K,stimulus,beta0_mean,beta0_std
sphere_genus0,0,100,A1,58.0,0.0
sphere_genus0,0,100,A2,56.0559,0.9118
sphere_genus0,0,100,A3,105.2191,12.6881
sphere_genus0,0,100,A5,155.6573,10.5802
torus_genus1,1,100,A1,0.0,0.0
torus_genus1,1,100,A2,0.1235,0.7502
torus_genus1,1,100,A3,57.4172,11.8421
torus_genus1,1,100,A5,87.5979,8.3805
double_torus_genus2,2,100,A1,2.0,0.0
double_torus_genus2,2,100,A2,3.0047,0.4153
double_torus_genus2,2,100,A3,54.3601,14.3052
double_torus_genus2,2,100,A5,83.8904,7.0184
triple_torus_genus3,3,100,A1,2.0,0.0
triple_torus_genus3,3,100,A2,0.1037,0.6565
triple_torus_genus3,3,100,A3,68.5967,18.3251
triple_torus_genus3,3,100,A5,108.9534,7.2769
quad_torus_genus4,4,100,A1,19.0,0.0
quad_torus_genus4,4,100,A2,17.8462,1.5486
quad_torus_genus4,4,100,A3,63.289,21.2877
quad_torus_genus4,4,100,A5,120.2762,7.7253
penta_torus_genus5,5,100,A1,6.0,0.0
penta_torus_genus5,5,100,A2,3.5897,1.0847
penta_torus_genus5,5,100,A3,69.5991,20.7101
penta_torus_genus5,5,100,A5,117.7354,8.7714
hex_torus_genus6,6,100,A1,2.0,0.0
hex_torus_genus6,6,100,A2,2.3601,0.8374
hex_torus_genus6,6,100,A3,46.014,24.4468
hex_torus_genus6,6,100,A5,145.3858,10.9708
