mesh,genus,K,H,beta0_random_mean,beta0_random_std,beta0_A5,beta0_A3
sphere,0,50,1.727006,134.785,13.192,135.8217,82.4837
torus,1,50,2.947125,130.045,12.9326,138.1142,80.1935
cube,0,50,2.784673,227.74,26.0661,205.7086,103.0781
ellipsoid,0,50,3.412376,133.345,15.295,139.4942,82.1958
double_torus,2,50,3.507692,72.1500,8.6092,67.1585,127.3357
flat_plate,0,50,3.080338,122.715,14.6763,129.5746,55.2494
tetrahedron,0,50,2.396976,116.315,12.5002,110.1853,72.4592
octahedron,0,50,2.704868,179.805,17.1985,162.4837,99.5221
icosahedron,0,50,2.423222,132.705,13.8571,130.8718,77.9977
triple_torus_genus3,3,50,3.460752,97.575,10.0137,96.9114,29.8904
triple_torus_genus3,3,100,4.206264,118.48,11.9105,108.9534,68.5967
triple_torus_genus3,3,200,4.878244,140.505,14.4118,144.1037,91.817
quad_torus_genus4,4,50,3.510437,107.395,12.4643,105.0734,29.5979
quad_torus_genus4,4,100,4.206797,125.435,11.5102,120.2762,63.289
quad_torus_genus4,4,200,4.922677,150.76,14.6295,148.3322,105.7634
penta_torus_genus5,5,50,3.531971,111.45,13.7324,112.1422,28.1911
penta_torus_genus5,5,100,4.201955,135.685,12.7693,117.7354,69.5991
penta_torus_genus5,5,200,4.883811,159.07,15.6645,157.8613,90.8497
hex_torus_genus6,6,50,3.491888,87.48,12.2699,86.866,26.0967
hex_torus_genus6,6,100,4.159324,146.47,15.5206,145.3858,46.014
hex_torus_genus6,6,200,4.866366,169.9,14.5513,162.6131,82.9196
